ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
30,GPP_NT_VUT_REF,WW_USTAR_THRESHOLD,0.07228,2011
30,GPP_NT_VUT_REF,WW_USTAR_PERCENTILE,43.75,2012
30,GPP_NT_VUT_REF,WW_USTAR_THRESHOLD,0.06856,2012
30,GPP_NT_VUT_REF,WW_USTAR_PERCENTILE,43.75,2013
30,GPP_NT_VUT_REF,WW_USTAR_THRESHOLD,0.0647,2013
30,GPP_NT_VUT_REF,WW_USTAR_PERCENTILE,43.75,2014
30,GPP_NT_VUT_REF,WW_USTAR_THRESHOLD,0.06226,2014
31,GPP_NT_CUT_REF,MM_USTAR_PERCENTILE,51.25,-9999
31,GPP_NT_CUT_REF,MM_USTAR_THRESHOLD,0.0688625,-9999
32,GPP_NT_VUT_REF,MM_USTAR_PERCENTILE,43.75,2010
32,GPP_NT_VUT_REF,MM_USTAR_THRESHOLD,0.0701625,2010
32,GPP_NT_VUT_REF,MM_USTAR_PERCENTILE,43.75,2011
32,GPP_NT_VUT_REF,MM_USTAR_THRESHOLD,0.07228,2011
32,GPP_NT_VUT_REF,MM_USTAR_PERCENTILE,43.75,2012
32,GPP_NT_VUT_REF,MM_USTAR_THRESHOLD,0.06856,2012
32,GPP_NT_VUT_REF,MM_USTAR_PERCENTILE,43.75,2013
32,GPP_NT_VUT_REF,MM_USTAR_THRESHOLD,0.0647,2013
32,GPP_NT_VUT_REF,MM_USTAR_PERCENTILE,43.75,2014
32,GPP_NT_VUT_REF,MM_USTAR_THRESHOLD,0.06226,2014
33,GPP_NT_CUT_REF,YY_USTAR_PERCENTILE,51.25,-9999
33,GPP_NT_CUT_REF,YY_USTAR_THRESHOLD,0.0688625,-9999
34,GPP_NT_VUT_REF,YY_USTAR_PERCENTILE,43.75,2010
34,GPP_NT_VUT_REF,YY_USTAR_THRESHOLD,0.0701625,2010
34,GPP_NT_VUT_REF,YY_USTAR_PERCENTILE,43.75,2011
34,GPP_NT_VUT_REF,YY_USTAR_THRESHOLD,0.07228,2011
34,GPP_NT_VUT_REF,YY_USTAR_PERCENTILE,43.75,2012
34,GPP_NT_VUT_REF,YY_USTAR_THRESHOLD,0.06856,2012
34,GPP_NT_VUT_REF,YY_USTAR_PERCENTILE,43.75,2013
34,GPP_NT_VUT_REF,YY_USTAR_THRESHOLD,0.0647,2013
34,GPP_NT_VUT_REF,YY_USTAR_PERCENTILE,43.75,2014
34,GPP_NT_VUT_REF,YY_USTAR_THRESHOLD,0.06226,2014
35,RECO_DT_CUT_REF,HH_USTAR_PERCENTILE,41.25,-9999
35,RECO_DT_CUT_REF,HH_USTAR_THRESHOLD,0.0658,-9999
36,RECO_DT_VUT_REF,HH_USTAR_PERCENTILE,36.25,2010
36,RECO_DT_VUT_REF,HH_USTAR_THRESHOLD,0.069025,2010
36,RECO_DT_VUT_REF,HH_USTAR_PERCENTILE,36.25,2011
36,RECO_DT_VUT_REF,HH_USTAR_THRESHOLD,0.0696429,2011
36,RECO_DT_VUT_REF,HH_USTAR_PERCENTILE,36.25,2012
36,RECO_DT_VUT_REF,HH_USTAR_THRESHOLD,0.0664,2012
36,RECO_DT_VUT_REF,HH_USTAR_PERCENTILE,36.25,2013
36,RECO_DT_VUT_REF,HH_USTAR_THRESHOLD,0.0624,2013
36,RECO_DT_VUT_REF,HH_USTAR_PERCENTILE,36.25,2014
36,RECO_DT_VUT_REF,HH_USTAR_THRESHOLD,0.0594286,2014
37,RECO_DT_CUT_REF,DD_USTAR_PERCENTILE,41.25,-9999
37,RECO_DT_CUT_REF,DD_USTAR_THRESHOLD,0.0658,-9999
38,RECO_DT_VUT_REF,DD_USTAR_PERCENTILE,46.25,2010
38,RECO_DT_VUT_REF,DD_USTAR_THRESHOLD,0.0708875,2010
38,RECO_DT_VUT_REF,DD_USTAR_PERCENTILE,46.25,2011
38,RECO_DT_VUT_REF,DD_USTAR_THRESHOLD,0.0731148,2011
38,RECO_DT_VUT_REF,DD_USTAR_PERCENTILE,46.25,2012
38,RECO_DT_VUT_REF,DD_USTAR_THRESHOLD,0.0690333,2012
38,RECO_DT_VUT_REF,DD_USTAR_PERCENTILE,46.25,2013
38,RECO_DT_VUT_REF,DD_USTAR_THRESHOLD,0.0655429,2013
38,RECO_DT_VUT_REF,DD_USTAR_PERCENTILE,46.25,2014
38,RECO_DT_VUT_REF,DD_USTAR_THRESHOLD,0.0629125,2014
39,RECO_DT_CUT_REF,WW_USTAR_PERCENTILE,38.75,-9999
39,RECO_DT_CUT_REF,WW_USTAR_THRESHOLD,0.0648,-9999
40,RECO_DT_VUT_REF,WW_USTAR_PERCENTILE,36.25,2010
40,RECO_DT_VUT_REF,WW_USTAR_THRESHOLD,0.069025,2010
40,RECO_DT_VUT_REF,WW_USTAR_PERCENTILE,36.25,2011
40,RECO_DT_VUT_REF,WW_USTAR_THRESHOLD,0.0696429,2011
40,RECO_DT_VUT_REF,WW_USTAR_PERCENTILE,36.25,2012
40,RECO_DT_VUT_REF,WW_USTAR_THRESHOLD,0.0664,2012
40,RECO_DT_VUT_REF,WW_USTAR_PERCENTILE,36.25,2013
40,RECO_DT_VUT_REF,WW_USTAR_THRESHOLD,0.0624,2013
40,RECO_DT_VUT_REF,WW_USTAR_PERCENTILE,36.25,2014
40,RECO_DT_VUT_REF,WW_USTAR_THRESHOLD,0.0594286,2014
41,RECO_DT_CUT_REF,MM_USTAR_PERCENTILE,41.25,-9999
41,RECO_DT_CUT_REF,MM_USTAR_THRESHOLD,0.0658,-9999
42,RECO_DT_VUT_REF,MM_USTAR_PERCENTILE,63.75,2010
42,RECO_DT_VUT_REF,MM_USTAR_THRESHOLD,0.07576,2010
42,RECO_DT_VUT_REF,MM_USTAR_PERCENTILE,63.75,2011
42,RECO_DT_VUT_REF,MM_USTAR_THRESHOLD,0.0849667,2011
42,RECO_DT_VUT_REF,MM_USTAR_PERCENTILE,63.75,2012
42,RECO_DT_VUT_REF,MM_USTAR_THRESHOLD,0.0756875,2012
42,RECO_DT_VUT_REF,MM_USTAR_PERCENTILE,63.75,2013
42,RECO_DT_VUT_REF,MM_USTAR_THRESHOLD,0.07175,2013
42,RECO_DT_VUT_REF,MM_USTAR_PERCENTILE,63.75,2014
42,RECO_DT_VUT_REF,MM_USTAR_THRESHOLD,0.0668313,2014
43,RECO_DT_CUT_REF,YY_USTAR_PERCENTILE,43.75,-9999
43,RECO_DT_CUT_REF,YY_USTAR_THRESHOLD,0.0664,-9999
44,RECO_DT_VUT_REF,YY_USTAR_PERCENTILE,76.25,2010
44,RECO_DT_VUT_REF,YY_USTAR_THRESHOLD,0.0908714,2010
44,RECO_DT_VUT_REF,YY_USTAR_PERCENTILE,76.25,2011
44,RECO_DT_VUT_REF,YY_USTAR_THRESHOLD,0.0948125,2011
44,RECO_DT_VUT_REF,YY_USTAR_PERCENTILE,76.25,2012
44,RECO_DT_VUT_REF,YY_USTAR_THRESHOLD,0.0896273,2012
44,RECO_DT_VUT_REF,YY_USTAR_PERCENTILE,76.25,2013
44,RECO_DT_VUT_REF,YY_USTAR_THRESHOLD,0.08112,2013
44,RECO_DT_VUT_REF,YY_USTAR_PERCENTILE,76.25,2014
44,RECO_DT_VUT_REF,YY_USTAR_THRESHOLD,0.0711167,2014
45,GPP_DT_CUT_REF,HH_USTAR_PERCENTILE,43.75,-9999
45,GPP_DT_CUT_REF,HH_USTAR_THRESHOLD,0.0664,-9999
46,GPP_DT_VUT_REF,HH_USTAR_PERCENTILE,46.25,2010
46,GPP_DT_VUT_REF,HH_USTAR_THRESHOLD,0.0708875,2010
46,GPP_DT_VUT_REF,HH_USTAR_PERCENTILE,46.25,2011
46,GPP_DT_VUT_REF,HH_USTAR_THRESHOLD,0.0731148,2011
46,GPP_DT_VUT_REF,HH_USTAR_PERCENTILE,46.25,2012
46,GPP_DT_VUT_REF,HH_USTAR_THRESHOLD,0.0690333,2012
46,GPP_DT_VUT_REF,HH_USTAR_PERCENTILE,46.25,2013
46,GPP_DT_VUT_REF,HH_USTAR_THRESHOLD,0.0655429,2013
46,GPP_DT_VUT_REF,HH_USTAR_PERCENTILE,46.25,2014
46,GPP_DT_VUT_REF,HH_USTAR_THRESHOLD,0.0629125,2014
47,GPP_DT_CUT_REF,DD_USTAR_PERCENTILE,43.75,-9999
47,GPP_DT_CUT_REF,DD_USTAR_THRESHOLD,0.0664,-9999
48,GPP_DT_VUT_REF,DD_USTAR_PERCENTILE,46.25,2010
48,GPP_DT_VUT_REF,DD_USTAR_THRESHOLD,0.0708875,2010
48,GPP_DT_VUT_REF,DD_USTAR_PERCENTILE,46.25,2011
48,GPP_DT_VUT_REF,DD_USTAR_THRESHOLD,0.0731148,2011
48,GPP_DT_VUT_REF,DD_USTAR_PERCENTILE,46.25,2012
48,GPP_DT_VUT_REF,DD_USTAR_THRESHOLD,0.0690333,2012
48,GPP_DT_VUT_REF,DD_USTAR_PERCENTILE,46.25,2013
48,GPP_DT_VUT_REF,DD_USTAR_THRESHOLD,0.0655429,2013
48,GPP_DT_VUT_REF,DD_USTAR_PERCENTILE,46.25,2014
48,GPP_DT_VUT_REF,DD_USTAR_THRESHOLD,0.0629125,2014
49,GPP_DT_CUT_REF,WW_USTAR_PERCENTILE,38.75,-9999
49,GPP_DT_CUT_REF,WW_USTAR_THRESHOLD,0.0648,-9999
50,GPP_DT_VUT_REF,WW_USTAR_PERCENTILE,46.25,2010
50,GPP_DT_VUT_REF,WW_USTAR_THRESHOLD,0.0708875,2010
50,GPP_DT_VUT_REF,WW_USTAR_PERCENTILE,46.25,2011
50,GPP_DT_VUT_REF,WW_USTAR_THRESHOLD,0.0731148,2011
50,GPP_DT_VUT_REF,WW_USTAR_PERCENTILE,46.25,2012
50,GPP_DT_VUT_REF,WW_USTAR_THRESHOLD,0.0690333,2012
50,GPP_DT_VUT_REF,WW_USTAR_PERCENTILE,46.25,2013
50,GPP_DT_VUT_REF,WW_USTAR_THRESHOLD,0.0655429,2013
50,GPP_DT_VUT_REF,WW_USTAR_PERCENTILE,46.25,2014
50,GPP_DT_VUT_REF,WW_USTAR_THRESHOLD,0.0629125,2014
51,GPP_DT_CUT_REF,MM_USTAR_PERCENTILE,41.25,-9999
51,GPP_DT_CUT_REF,MM_USTAR_THRESHOLD,0.0658,-9999
52,GPP_DT_VUT_REF,MM_USTAR_PERCENTILE,46.25,2010
52,GPP_DT_VUT_REF,MM_USTAR_THRESHOLD,0.0708875,2010
52,GPP_DT_VUT_REF,MM_USTAR_PERCENTILE,46.25,2011
52,GPP_DT_VUT_REF,MM_USTAR_THRESHOLD,0.0731148,2011
52,GPP_DT_VUT_REF,MM_USTAR_PERCENTILE,46.25,2012
52,GPP_DT_VUT_REF,MM_USTAR_THRESHOLD,0.0690333,2012
52,GPP_DT_VUT_REF,MM_USTAR_PERCENTILE,46.25,2013
52,GPP_DT_VUT_REF,MM_USTAR_THRESHOLD,0.0655429,2013
52,GPP_DT_VUT_REF,MM_USTAR_PERCENTILE,46.25,2014
52,GPP_DT_VUT_REF,MM_USTAR_THRESHOLD,0.0629125,2014
53,GPP_DT_CUT_REF,YY_USTAR_PERCENTILE,8.75,-9999
53,GPP_DT_CUT_REF,YY_USTAR_THRESHOLD,0.0482625,-9999
54,GPP_DT_VUT_REF,YY_USTAR_PERCENTILE,6.25,2010
54,GPP_DT_VUT_REF,YY_USTAR_THRESHOLD,0.0405361,2010
54,GPP_DT_VUT_REF,YY_USTAR_PERCENTILE,6.25,2011
54,GPP_DT_VUT_REF,YY_USTAR_THRESHOLD,0.0482625,2011
54,GPP_DT_VUT_REF,YY_USTAR_PERCENTILE,6.25,2012
54,GPP_DT_VUT_REF,YY_USTAR_THRESHOLD,0.0470167,2012
54,GPP_DT_VUT_REF,YY_USTAR_PERCENTILE,6.25,2013
54,GPP_DT_VUT_REF,YY_USTAR_THRESHOLD,0.0463857,2013
54,GPP_DT_VUT_REF,YY_USTAR_PERCENTILE,6.25,2014
54,GPP_DT_VUT_REF,YY_USTAR_THRESHOLD,0.0442667,2014
55,USTAR_CUT,USTAR_PERCENTILE,1.25,-9999
55,USTAR_CUT,USTAR_THRESHOLD,0.0366451,-9999
56,USTAR_CUT,USTAR_PERCENTILE,3.75,-9999
56,USTAR_CUT,USTAR_THRESHOLD,0.04088,-9999
57,USTAR_CUT,USTAR_PERCENTILE,6.25,-9999
57,USTAR_CUT,USTAR_THRESHOLD,0.0447667,-9999
58,USTAR_CUT,USTAR_PERCENTILE,8.75,-9999
58,USTAR_CUT,USTAR_THRESHOLD,0.0482625,-9999
59,USTAR_CUT,USTAR_PERCENTILE,11.25,-9999
59,USTAR_CUT,USTAR_THRESHOLD,0.051775,-9999
60,USTAR_CUT,USTAR_PERCENTILE,13.75,-9999
60,USTAR_CUT,USTAR_THRESHOLD,0.05355,-9999
61,USTAR_CUT,USTAR_PERCENTILE,16.25,-9999
61,USTAR_CUT,USTAR_THRESHOLD,0.05528,-9999
62,USTAR_CUT,USTAR_PERCENTILE,18.75,-9999
62,USTAR_CUT,USTAR_THRESHOLD,0.0563625,-9999
63,USTAR_CUT,USTAR_PERCENTILE,21.25,-9999
63,USTAR_CUT,USTAR_THRESHOLD,0.0568857,-9999
64,USTAR_CUT,USTAR_PERCENTILE,23.75,-9999
64,USTAR_CUT,USTAR_THRESHOLD,0.0577063,-9999
65,USTAR_CUT,USTAR_PERCENTILE,26.25,-9999
65,USTAR_CUT,USTAR_THRESHOLD,0.059725,-9999
66,USTAR_CUT,USTAR_PERCENTILE,28.75,-9999
66,USTAR_CUT,USTAR_THRESHOLD,0.06116,-9999
67,USTAR_CUT,USTAR_PERCENTILE,31.25,-9999
67,USTAR_CUT,USTAR_THRESHOLD,0.06226,-9999
68,USTAR_CUT,USTAR_PERCENTILE,33.75,-9999
68,USTAR_CUT,USTAR_THRESHOLD,0.0630268,-9999
69,USTAR_CUT,USTAR_PERCENTILE,36.25,-9999
69,USTAR_CUT,USTAR_THRESHOLD,0.06375,-9999
70,USTAR_CUT,USTAR_PERCENTILE,38.75,-9999
70,USTAR_CUT,USTAR_THRESHOLD,0.0648,-9999
71,USTAR_CUT,USTAR_PERCENTILE,41.25,-9999
71,USTAR_CUT,USTAR_THRESHOLD,0.0658,-9999
72,USTAR_CUT,USTAR_PERCENTILE,43.75,-9999
72,USTAR_CUT,USTAR_THRESHOLD,0.0664,-9999
73,USTAR_CUT,USTAR_PERCENTILE,46.25,-9999
73,USTAR_CUT,USTAR_THRESHOLD,0.0671667,-9999
74,USTAR_CUT,USTAR_PERCENTILE,48.75,-9999
74,USTAR_CUT,USTAR_THRESHOLD,0.0681375,-9999
75,USTAR_CUT,USTAR_PERCENTILE,50.00,-9999
75,USTAR_CUT,USTAR_THRESHOLD,0.06856,-9999
76,USTAR_CUT,USTAR_PERCENTILE,51.25,-9999
76,USTAR_CUT,USTAR_THRESHOLD,0.0688625,-9999
77,USTAR_CUT,USTAR_PERCENTILE,53.75,-9999
77,USTAR_CUT,USTAR_THRESHOLD,0.0693857,-9999
78,USTAR_CUT,USTAR_PERCENTILE,56.25,-9999
78,USTAR_CUT,USTAR_THRESHOLD,0.0707571,-9999
